city_id,city,state_id
0,Danville,0
1,Scottsbluff,1
2,Highlands,2
3,Twentynine Palms,3
4,Dayton,4
5,Morris,5
6,Lake City,6
7,Chicago,5
8,Tallahassee,7
9,Aberdeen,8
10,Abingdon,9
11,Abita Springs,10
12,West Union,4
13,Gettysburg,11
14,Enola,11
15,Kealakekua,12
16,Toms River,2
17,Memphis,13
18,Honolulu,12
19,Brooksville,7
20,Gainesville,7
21,San Antonio,14
22,Alamosa,15
23,Albany,16
24,Alexandria Bay,19
25,Alexandria,20
26,Algoma,21
27,IOLA,22
28,Iola,22
29,Aloha,16
30,Alturas,3
31,Ambler,11
32,"Ames, IA",23
33,Dawsonville,24
34,Madison,13
35,Anaconda,25
36,Anacortes,8
37,Anderson,26
38,Lawrenceburg,27
39,Andover,28
40,Annandale,9
41,Antigo,21
42,Antioch,5
43,Appleton,21
44,Newport,29
45,Arlington,0
46,Providence,29
47,Arnold,18
48,DeLand,7
49,Augusta-Richmond County consolidated government (balance),24
50,Ashland,28
51,Astoria,16
52,Jonesboro,30
53,Atchison,22
54,Athens,4
55,Athol,31
56,Attleboro,28
57,Los Angeles,3
58,Auburn,8
59,Aurora,19
60,AUSTIN,14
61,Avon,17
62,AVON,32
63,Colorado Springs,15
64,bainbridge,17
65,Baldwin,21
66,Seattle,8
67,Bamberg,26
68,Bangor,33
69,Garden Valley,3
70,Barnegat,2
71,Winder,24
72,Basalt,15
73,Bassett,1
74,Bastrop,14
75,Batavia,5
76,Batesville,17
77,Battle Creek,6
78,Friendswood,14
79,Beatrice,1
80,Beattyville,27
81,"Beaumont,",14
82,Beaver City,1
83,Beaver Dam,27
84,Des Moines,23
85,Bedford,34
86,Bedminster,2
87,Bel Air,35
88,Belleville,22
89,Bellingham,8
90,Belmont,19
91,Belton,18
92,Bemidji,20
93,Benicia,3
94,Bennet,1
95,Bentonville,30
96,Berkeley Springs,36
97,Berkey,4
98,Berwick,33
99,Bessemer,37
100,Bethalto,5
101,Bethany Beach,38
102,Bethesda,35
103,Bethlehem,11
104,Beverly Hills,3
105,Bexley,4
106,City of Big Bear Lake,3
107,Big Lake,20
108,Billerica,28
109,Birdsboro,11
110,Bismarck,39
111,Blairstown,2
112,Pittsburgh,11
113,"Bloomington, IN",17
114,Bloomington,17
115,Blue Ash,4
116,Lexington,27
117,Bluffton,4
118,Baltimore,35
119,Boise City,31
120,Burlington,27
121,Boone,23
122,Boonville,18
123,Daleville,9
124,Bottineau,39
125,Boulder,25
126,Bowie,35
127,Catlettsburg,27
128,Boyne City,6
129,Houston,14
130,Braintree,28
131,Brattleboro,0
132,Jackson,27
133,Bremerton,8
134,Bridgewater,2
135,Brigham City,40
136,Brimfield,28
137,Broadway,9
138,Brockton,28
139,Columbus,4
140,Brookings,16
141,Brookline,28
142,Kansas City,18
143,BROOKVILLE,17
144,Binghamton,19
145,Brownsburg,17
146,Bruce,21
147,Brunswick,33
148,Bryn Mawr,11
149,Hampton,9
150,Bucksport,33
151,Burbank,3
152,Burke,9
153,Harrisville,29
154,Greenville,37
155,Butte,25
156,Humble,14
157,South Bend,17
158,"Cadiz, KY",27
